year,region,exposure.code,coastal.code,latitude,longitude,depth,crust,understory,kelp,urchin,month,day,survey,site
2001,York,4,3,43.06709,-70.66749,5,60,100,1.9,0,6,13,dmr,42
2001,York,4,3,43.28014,-70.55645,5,75.5,100,0,0,6,13,dmr,47
2001,York,4,3,43.40849,-70.38046,5,73.5,80,18.5,0,6,14,dmr,56
2001,York,4,4,43.50783,-70.32038,5,63.5,82,0.6,0,6,14,dmr,61
2001,York,4,3,43.52791,-70.30401,5,72.5,69,63.5,0,6,14,dmr,62
2001,Casco Bay,2,2,43.72766,-70.10721,5,6.1,38.5,92.5,0,6,15,dmr,66
2001,Casco Bay,2,2,43.76509,-69.96087,5,31.5,74,59,0,6,15,dmr,71
2001,Casco Bay,3,3,43.75199,-69.9342,5,31.5,96.5,7.7,0,6,15,dmr,70
2001,Casco Bay,2,2,43.78369,-69.89041,5,40.5,60,52.5,0,6,8,dmr,23
2001,Casco Bay,2,2,43.79288,-69.88675,5,53,59.5,29.2,0,6,8,dmr,22
2001,Casco Bay,1,2,43.79686,-69.88665,5,26.5,15,100,0,6,8,dmr,21
2001,Casco Bay,2,2,43.75221,-69.86678,5,70.5,100,0.8,0.5,6,8,dmr,25
2001,Midcoast,2,2,43.81279,-69.79659,5,0,6.4,0,0,6,4,dmr,4
2001,Midcoast,2,3,43.7565,-69.77936,5,10.9,55,57.5,0.9,6,4,dmr,5
2001,Midcoast,1,2,43.8576,-69.72455,5,10,43.5,34.7,0,6,4,dmr,3
2001,Midcoast,2,2,43.86061,-69.68762,5,94.5,90,91,0,6,5,dmr,6
2001,Midcoast,2,3,43.82462,-69.63938,5,0.3,98.5,2.8,0,6,5,dmr,10
2001,Midcoast,3,3,43.80221,-69.63056,5,18.4,75,9.8,0,6,5,dmr,9
2001,Midcoast,3,4,43.78165,-69.61044,5,12,77.5,4.2,0,6,5,dmr,8
2001,Midcoast,2,2,43.85643,-69.57275,5,10,10.5,100,0,6,6,dmr,12
2001,Midcoast,2,3,43.83358,-69.56886,5,29.5,50,65,0,6,6,dmr,11
2001,Midcoast,2,2,43.86118,-69.56274,5,44.5,16,98,0,6,6,dmr,13
2001,Midcoast,2,2,43.93819,-69.43963,5,36,70,36,0,6,7,dmr,20
2001,Midcoast,2,2,43.92956,-69.38963,5,72.5,81,11.8,1.1,6,7,dmr,19
2001,Midcoast,2,3,43.91571,-69.37804,5,79.5,56,7.2,4.4,6,7,dmr,16
2001,Midcoast,3,2,43.92964,-69.35844,5,79,53.5,51,0,6,7,dmr,18
2001,Midcoast,3,2,43.92028,-69.35188,5,74,51,21,0,6,7,dmr,17
2001,Midcoast,3,2,43.91537,-69.31995,5,68,52,5.4,3.8,6,18,dmr,74
2001,Midcoast,3,3,43.90658,-69.30775,5,78,98,0,0.1,6,18,dmr,75
2001,Midcoast,3,3,43.90006,-69.28716,5,20.5,39.5,52,0,6,18,dmr,76
2001,Midcoast,2,3,43.9114,-69.26453,5,31,67,51,0,6,18,dmr,78
2001,Penobscot Bay,3,3,43.91638,-69.21494,5,100,15.2,9.2,26,6,19,dmr,84
2001,Penobscot Bay,4,3,43.97099,-69.09692,5,99.5,73.5,18.3,4.7,6,19,dmr,83
2001,Penobscot Bay,2,3,44.04744,-69.07132,5,7.9,83.5,22.4,0,6,19,dmr,81
2001,Penobscot Bay,2,2,44.07907,-69.04713,5,47,96,0.9,0.4,6,19,dmr,80
